Date,Price
2024-01-01,100.00
2024-01-02,101.25
2024-01-03,99.80
2024-01-04,102.50
2024-01-05,103.10
2024-01-06,101.90
2024-01-07,104.30
2024-01-08,105.60
2024-01-09,103.75
2024-01-10,106.20
2024-01-11,107.80
2024-01-12,106.50
2024-01-13,108.90
2024-01-14,110.25
2024-01-15,109.10
2024-01-16,111.50
2024-01-17,112.80
2024-01-18,111.60
2024-01-19,113.90
2024-01-20,115.40
2024-01-21,114.20
2024-01-22,116.70
2024-01-23,117.50
2024-01-24,116.80
2024-01-25,118.90
2024-01-26,120.30
2024-01-27,119.10
2024-01-28,121.50
2024-01-29,122.80
2024-01-30,121.40
2024-01-31,123.60
2024-02-01,124.90
2024-02-02,123.70
2024-02-03,125.80
2024-02-04,127.20
2024-02-05,126.10
2024-02-06,128.40
2024-02-07,129.50
2024-02-08,128.30
2024-02-09,130.60
2024-02-10,131.90
2024-02-11,130.80
2024-02-12,132.70
2024-02-13,134.10
2024-02-14,133.20
2024-02-15,135.40
2024-02-16,136.80
2024-02-17,135.50
2024-02-18,137.60
2024-02-19,138.90
2024-02-20,137.80
2024-02-21,139.70
2024-02-22,141.20
2024-02-23,140.10
2024-02-24,142.30
2024-02-25,143.50
2024-02-26,142.40
2024-02-27,144.60
2024-02-28,145.80
2024-02-29,144.90
2024-03-01,146.70
2024-03-02,148.10
2024-03-03,147.00
2024-03-04,149.20
2024-03-05,150.40
2024-03-06,149.30
2024-03-07,151.50
2024-03-08,152.80
2024-03-09,151.60
2024-03-10,153.70
2024-03-11,155.10
2024-03-12,154.00
2024-03-13,156.20
2024-03-14,157.40
2024-03-15,156.50
2024-03-16,158.60
2024-03-17,159.80
2024-03-18,158.70
2024-03-19,160.90
2024-03-20,162.10
2024-03-21,161.20
2024-03-22,163.30
2024-03-23,164.50
2024-03-24,163.60
2024-03-25,165.70
2024-03-26,166.90
2024-03-27,166.00
2024-03-28,168.10
2024-03-29,169.30
2024-03-30,168.40
2024-03-31,170.50
2024-04-01,171.80
2024-04-02,170.60
2024-04-03,172.90
2024-04-04,174.20
2024-04-05,173.10
2024-04-06,175.30
2024-04-07,176.60
2024-04-08,175.50
2024-04-09,177.70
2024-04-10,179.00
